SN,DN/IP-List,First-Date,Last-Date
444,78.110.160.155,2014/11/24,2014/12/03
445,46.183.221.47,2014/11/26,2014/11/26
446,84.22.42.236,2014/11/24,2014/11/24
447,192.155.192.187,2014/11/21,2014/11/21
448,185.24.233.253,2014/11/17,2014/11/20
449,216.185.114.219,2014/11/19,2014/11/20
450,185.75.56.86,2014/11/19,2014/11/19
451,1.170.124.23,2014/11/14,2014/11/18
452,104.192.103.80,2014/11/18,2014/11/18
453,131.72.136.47,2014/11/17,2014/11/18
454,200.98.128.199,2014/11/18,2014/11/18
455,146.185.253.129,2014/10/21,2014/11/17
456,46.183.221.10,2014/11/17,2014/11/17
457,91.210.106.29,2014/11/17,2014/11/17
458,91.210.106.8,2014/11/14,2014/11/14
459,46.183.221.119,2014/10/28,2014/11/12
460,1.170.42.84,2014/11/11,2014/11/11
461,1.170.12.59,2014/11/05,2014/11/10
462,81.7.3.101,2014/11/10,2014/11/10
463,23.27.112.216,2014/11/06,2014/11/06
464,50.117.38.164,2014/10/17,2014/11/06
465,198.144.100.73,2014/04/04,2014/11/05
466,81.244.253.245,2014/11/05,2014/11/05
467,193.107.19.244,2014/11/04,2014/11/04
468,185.17.1.192,2014/11/03,2014/11/03
469,146.185.253.119,2014/10/31,2014/10/31
470,104.192.103.13,2014/10/24,2014/10/24
471,118.99.13.236,2014/10/19,2014/10/24
472,118.99.13.240,2014/10/24,2014/10/24
473,64.32.12.14,2014/10/21,2014/10/24
474,185.31.160.75,2014/10/23,2014/10/23
475,210.209.86.152,2014/10/21,2014/10/23
476,38.89.137.248,2014/10/23,2014/10/23
477,128.91.197.123,2014/10/22,2014/10/22
478,200.2.126.61,2014/10/22,2014/10/22
479,211.232.98.9,2014/10/22,2014/10/22
480,118.99.13.202,2014/10/18,2014/10/21
481,188.165.214.6,2014/10/21,2014/10/21
482,107.182.129.11,2014/10/01,2014/10/20
483,180.210.206.150,2014/10/20,2014/10/20
484,68.232.180.104,2014/10/17,2014/10/20
485,113.10.221.89,2013/05/15,2014/10/17
486,185.7.34.251,2014/10/14,2014/10/17
487,200.98.129.93,2014/10/15,2014/10/17
488,202.153.193.80,2014/10/05,2014/10/17
489,50.117.38.165,2014/10/17,2014/10/17
490,103.241.144.184,2014/10/16,2014/10/16
491,122.166.11.34,2014/10/16,2014/10/16
492,142.0.45.8,2014/10/16,2014/10/16
493,185.8.105.41,2014/10/13,2014/10/16
494,69.195.129.70,2014/10/16,2014/10/16
495,82.165.38.206,2014/10/15,2014/10/16
496,180.179.213.16,2014/10/02,2014/10/15
497,203.249.87.1,2014/10/15,2014/10/15
498,86.124.164.25,2014/10/15,2014/10/15
499,94.75.233.13,2014/10/07,2014/10/15
500,104.192.103.30,2014/09/23,2014/10/14
501,104.192.103.5,2014/09/30,2014/10/14
502,188.165.198.52,2014/10/14,2014/10/14
503,77.87.79.218,2014/09/24,2014/10/10
504,162.253.66.252,2014/09/30,2014/10/01
505,67.215.4.77,2014/09/30,2014/09/30
506,177.135.177.54,2014/09/29,2014/09/29
507,202.175.14.182,2014/09/29,2014/09/29
508,104.192.103.28,2014/09/26,2014/09/26
509,101.1.25.58,2014/09/18,2014/09/24
510,174.37.207.80,2014/09/18,2014/09/18
511,104.192.103.45,2014/09/17,2014/09/17
512,185.24.233.117,2014/09/10,2014/09/10
513,185.14.28.231,2014/09/09,2014/09/09
514,46.108.132.140,2014/09/09,2014/09/09
515,58.64.181.90,2014/09/04,2014/09/04
516,112.217.184.90,2014/08/26,2014/09/03
517,80.82.64.200,2014/09/01,2014/09/01
518,94.23.0.200,2014/08/27,2014/09/01
519,217.23.138.136,2014/08/28,2014/08/28
520,173.243.112.220,2014/08/27,2014/08/27
521,37.1.197.113,2014/08/27,2014/08/27
522,198.50.252.27,2014/02/27,2014/08/26
523,178.217.187.121,2014/08/25,2014/08/25
524,5.199.171.20,2014/08/25,2014/08/25
525,96.30.60.16,2014/08/25,2014/08/25
526,141.108.2.157,2014/08/20,2014/08/24
527,199.241.146.210,2014/08/22,2014/08/22
528,108.61.210.194,2014/08/21,2014/08/21
529,78.110.175.78,2014/08/21,2014/08/21
530,113.10.246.176,2014/05/13,2014/08/20
531,211.234.117.219,2014/08/20,2014/08/20
532,31.220.25.178,2014/08/20,2014/08/20
533,188.165.205.194,2014/08/18,2014/08/19
534,46.183.220.94,2014/08/18,2014/08/18
535,94.23.247.202,2014/07/04,2014/08/18
536,173.243.112.148,2014/07/22,2014/08/13
537,144.76.240.101,2014/08/12,2014/08/12
538,59.14.163.3,2014/08/01,2014/08/08
539,144.76.240.98,2014/08/06,2014/08/06
540,178.89.159.33,2014/08/05,2014/08/05
541,91.213.8.190,2014/07/29,2014/08/05
542,144.76.240.109,2014/07/30,2014/08/01
543,177.70.96.129,2014/07/03,2014/08/01
544,178.63.240.112,2014/07/31,2014/07/31
545,159.253.20.142,2014/07/24,2014/07/24
546,46.165.252.201,2014/07/24,2014/07/24
547,68.68.35.65,2014/05/26,2014/07/23
548,173.243.112.253,2014/07/22,2014/07/22
549,184.20.38.252,2014/07/18,2014/07/18
550,209.188.18.94,2014/07/16,2014/07/16
551,148.251.94.182,2014/07/14,2014/07/14
552,46.18.32.174,2014/07/14,2014/07/14
553,91.217.90.125,2014/07/14,2014/07/14
554,91.221.36.184,2014/07/14,2014/07/14
555,91.234.33.125,2014/07/14,2014/07/14
556,91.237.198.93,2014/07/14,2014/07/14
557,93.170.104.81,2014/07/14,2014/07/14
558,93.171.172.129,2014/07/14,2014/07/14
559,59.188.69.198,2014/07/11,2014/07/11
560,173.243.112.190,2014/07/06,2014/07/06
561,193.203.48.37,2014/06/11,2014/06/30
562,62.122.75.40,2014/06/11,2014/06/30
563,82.192.91.15,2014/06/11,2014/06/30
564,91.226.212.32,2014/06/09,2014/06/30
565,122.221.176.43,2014/06/26,2014/06/26
566,37.58.51.144,2014/06/24,2014/06/24
567,60.32.116.170,2014/05/16,2014/06/23
568,37.58.51.154,2014/06/20,2014/06/20
569,185.25.49.244,2014/06/17,2014/06/17
570,69.50.195.20,2014/06/16,2014/06/16
571,37.0.127.115,2014/06/10,2014/06/10
572,37.58.51.136,2014/06/10,2014/06/10
573,46.105.155.250,2014/06/09,2014/06/09
574,204.45.30.19,2014/06/04,2014/06/04
575,31.220.1.175,2014/06/04,2014/06/04
576,69.46.65.161,2014/06/04,2014/06/04
577,38.102.68.230,2014/06/03,2014/06/03
578,65.49.14.72,2014/06/03,2014/06/03
